run_id,variant,seed,mae,rank_correlation,calibration_slope,accuracy,f1
transition-witness-s42,V_future_relational_witness_chart_transition,42,0.085553,0.841105,0.986232,0.0,0.0
transition-witness-s123,V_future_relational_witness_chart_transition,123,0.075881,0.9241,0.999487,0.0,0.0
transition-witness-s777,V_future_relational_witness_chart_transition,777,0.259146,0.980807,0.984721,0.0,0.0
transition-coarse-s42,V_control_symbolic_coarse_lookup_regressor,42,0.262031,-0.109028,-0.0,0.0,0.0
transition-coarse-s123,V_control_symbolic_coarse_lookup_regressor,123,0.233977,-0.217411,0.0,0.0,0.0
transition-coarse-s777,V_control_symbolic_coarse_lookup_regressor,777,0.264121,-0.054473,10.030726,0.0,0.0
transition-analog-s42,V_control_symbolic_analog_only_regressor,42,0.275351,0.127829,0.17006,0.0,0.0
transition-analog-s123,V_control_symbolic_analog_only_regressor,123,0.253053,-0.092334,1.161923,0.0,0.0
transition-analog-s777,V_control_symbolic_analog_only_regressor,777,0.259339,-0.072187,4.076732,0.0,0.0
transition-nonlinear-s42,V_control_symbolic_nonlinear_manifold_regressor,42,0.142074,0.699299,1.140886,0.0,0.0
transition-nonlinear-s123,V_control_symbolic_nonlinear_manifold_regressor,123,0.142351,0.768455,0.965978,0.0,0.0
transition-nonlinear-s777,V_control_symbolic_nonlinear_manifold_regressor,777,0.252027,0.748941,0.997126,0.0,0.0
transition-insensitive-s42,V_control_symbolic_phase_insensitive_regressor,42,0.194963,0.631354,0.989145,0.0,0.0
transition-insensitive-s123,V_control_symbolic_phase_insensitive_regressor,123,0.146046,0.718083,0.909498,0.0,0.0
transition-insensitive-s777,V_control_symbolic_phase_insensitive_regressor,777,0.187782,0.696797,0.914331,0.0,0.0
transition-globalphase-s42,V_control_symbolic_global_phase_regressor,42,0.240603,0.634473,2.156857,0.0,0.0
transition-globalphase-s123,V_control_symbolic_global_phase_regressor,123,0.203697,0.376662,1.282961,0.0,0.0
transition-globalphase-s777,V_control_symbolic_global_phase_regressor,777,0.271946,0.534125,1.40264,0.0,0.0
transition-singlechart-s42,V_control_symbolic_single_chart_regressor,42,0.178316,0.693283,1.025983,0.0,0.0
transition-singlechart-s123,V_control_symbolic_single_chart_regressor,123,0.165648,0.768455,0.93873,0.0,0.0
transition-singlechart-s777,V_control_symbolic_single_chart_regressor,777,0.202132,0.748941,0.935822,0.0,0.0
transition-additive-s42,V_control_symbolic_transition_additive_regressor,42,0.073977,0.873747,1.049043,0.0,0.0
transition-additive-s123,V_control_symbolic_transition_additive_regressor,123,0.118635,0.768455,1.000593,0.0,0.0
transition-additive-s777,V_control_symbolic_transition_additive_regressor,777,0.240776,0.839175,1.007027,0.0,0.0
