"run_id","variant","seed","eval_loss","mae","rank_correlation","calibration_slope"
"tokeninv-relational_witness_chart_transition_invariant-s42","V_future_relational_witness_chart_transition_invariant","42","0.407319","0.407319","0.034581","-0.241929"
"tokeninv-relational_witness_chart_transition_invariant-s123","V_future_relational_witness_chart_transition_invariant","123","0.277765","0.277765","-0.177092","-0.024153"
"tokeninv-relational_witness_chart_transition_invariant-s777","V_future_relational_witness_chart_transition_invariant","777","0.247795","0.247795","0.387821","0.769675"
"tokeninv-ctrl_symbolic_transition_additive_regressor-s42","V_control_symbolic_transition_additive_regressor","42","0.386654","0.386654","-0.166452","-1.09672"
"tokeninv-ctrl_symbolic_transition_additive_regressor-s123","V_control_symbolic_transition_additive_regressor","123","0.189277","0.189277","0.450041","0.448701"
"tokeninv-ctrl_symbolic_transition_additive_regressor-s777","V_control_symbolic_transition_additive_regressor","777","0.257728","0.257728","0.393081","1.163092"
"tokeninv-ctrl_symbolic_transition_unordered_regressor-s42","V_control_symbolic_transition_unordered_regressor","42","0.393344","0.393344","-0.380391","-1.382826"
"tokeninv-ctrl_symbolic_transition_unordered_regressor-s123","V_control_symbolic_transition_unordered_regressor","123","0.19856","0.19856","0.206656","0.156079"
"tokeninv-ctrl_symbolic_transition_unordered_regressor-s777","V_control_symbolic_transition_unordered_regressor","777","0.262961","0.262961","0.357064","1.035739"
"tokeninv-ctrl_symbolic_transition_cross_direction_regressor-s42","V_control_symbolic_transition_cross_direction_regressor","42","0.391009","0.391009","-0.050819","-0.841344"
"tokeninv-ctrl_symbolic_transition_cross_direction_regressor-s123","V_control_symbolic_transition_cross_direction_regressor","123","0.190131","0.190131","0.40739","0.202981"
"tokeninv-ctrl_symbolic_transition_cross_direction_regressor-s777","V_control_symbolic_transition_cross_direction_regressor","777","0.259221","0.259221","0.37247","1.053954"
"tokeninv-ctrl_symbolic_transition_quadratic_regressor-s42","V_control_symbolic_transition_quadratic_regressor","42","0.403627","0.403627","-0.536181","-1.723267"
"tokeninv-ctrl_symbolic_transition_quadratic_regressor-s123","V_control_symbolic_transition_quadratic_regressor","123","0.186139","0.186139","0.455924","0.599546"
"tokeninv-ctrl_symbolic_transition_quadratic_regressor-s777","V_control_symbolic_transition_quadratic_regressor","777","0.246095","0.246095","0.449025","1.196077"
