variant,seed,mae,rank_correlation,calibration_slope,bounded_feature_audit_pass,anti_collapse_pass,forbidden_inputs_absent
V_future_relational_witness_state_sensitive,42,0.489983,-0.693858,-0.607221,True,True,True
V_future_relational_witness_state_sensitive,123,0.496195,-0.676583,-0.583098,True,True,True
V_future_relational_witness_state_sensitive,777,0.484493,-0.68303,-0.728596,True,True,True
V_control_symbolic_coarse_lookup_regressor,42,0.115843,0.93473,1.13413,,,True
V_control_symbolic_coarse_lookup_regressor,123,0.104935,0.928414,0.992277,,,True
V_control_symbolic_coarse_lookup_regressor,777,0.077461,0.930768,0.939119,,,True
V_control_symbolic_analog_only_regressor,42,0.251987,0.316881,1.44825,,,True
V_control_symbolic_analog_only_regressor,123,0.241264,0.276435,0.861133,,,True
V_control_symbolic_analog_only_regressor,777,0.257718,0.009535,-0.015291,,,True
V_control_symbolic_full_declared_regressor,42,0.097662,0.897951,1.035781,,,True
V_control_symbolic_full_declared_regressor,123,0.088162,0.926342,0.97368,,,True
V_control_symbolic_full_declared_regressor,777,0.083844,0.911522,0.977714,,,True
