"run_id","variant","dataset","seed","accuracy","f1","eval_loss"
"pair-order-xdir-s42","V_control_symbolic_transition_order_cross_direction","synthetic_transition_orbit_pairwise_order_binary","42","0.636364","0.333333","0.549266"
"pair-order-xdir-s123","V_control_symbolic_transition_order_cross_direction","synthetic_transition_orbit_pairwise_order_binary","123","0.636364","0.333333","0.541329"
"pair-order-xdir-s777","V_control_symbolic_transition_order_cross_direction","synthetic_transition_orbit_pairwise_order_binary","777","0.636364","0.333333","0.546952"
"pair-order-lookup-s42","V_control_symbolic_transition_order_lookup","synthetic_transition_orbit_pairwise_order_binary","42","0.454545","0.625","0.693147"
"pair-order-lookup-s123","V_control_symbolic_transition_order_lookup","synthetic_transition_orbit_pairwise_order_binary","123","0.454545","0.625","0.693147"
"pair-order-lookup-s777","V_control_symbolic_transition_order_lookup","synthetic_transition_orbit_pairwise_order_binary","777","0.454545","0.625","0.693147"
"pair-order-perm-s42","V_control_symbolic_transition_order_orbit_permuted","synthetic_transition_orbit_pairwise_order_binary","42","0.636364","0.333333","0.549618"
"pair-order-perm-s123","V_control_symbolic_transition_order_orbit_permuted","synthetic_transition_orbit_pairwise_order_binary","123","0.636364","0.333333","0.541823"
"pair-order-perm-s777","V_control_symbolic_transition_order_orbit_permuted","synthetic_transition_orbit_pairwise_order_binary","777","0.636364","0.333333","0.547493"
"pair-order-quad-s42","V_control_symbolic_transition_order_quadratic","synthetic_transition_orbit_pairwise_order_binary","42","0.636364","0.333333","0.551449"
"pair-order-quad-s123","V_control_symbolic_transition_order_quadratic","synthetic_transition_orbit_pairwise_order_binary","123","0.636364","0.333333","0.541556"
"pair-order-quad-s777","V_control_symbolic_transition_order_quadratic","synthetic_transition_orbit_pairwise_order_binary","777","0.636364","0.333333","0.548225"
"pair-order-witness-s42","V_future_relational_witness_transition_orbit_order","synthetic_transition_orbit_pairwise_order_binary","42","0.454545","0","1.050444"
"pair-order-witness-s123","V_future_relational_witness_transition_orbit_order","synthetic_transition_orbit_pairwise_order_binary","123","0.454545","0.25","0.747604"
"pair-order-witness-s777","V_future_relational_witness_transition_orbit_order","synthetic_transition_orbit_pairwise_order_binary","777","0.636364","0.5","0.914906"
