"run_id","variant","dataset","seed","mae","rank_correlation","calibration_slope"
"orbit-rank-xdir-s42","V_control_symbolic_transition_cross_direction_regressor","synthetic_transition_orbit_rank_band_response","42","0.297733","0.173205","0.556936"
"orbit-rank-xdir-s123","V_control_symbolic_transition_cross_direction_regressor","synthetic_transition_orbit_rank_band_response","123","0.297852","0.173205","0.517563"
"orbit-rank-xdir-s777","V_control_symbolic_transition_cross_direction_regressor","synthetic_transition_orbit_rank_band_response","777","0.295165","0.173205","0.557522"
"orbit-rank-perm-s42","V_control_symbolic_transition_orbit_permuted_regressor","synthetic_transition_orbit_rank_band_response","42","0.302003","0.23094","0.535045"
"orbit-rank-perm-s123","V_control_symbolic_transition_orbit_permuted_regressor","synthetic_transition_orbit_rank_band_response","123","0.302924","0.23094","0.501547"
"orbit-rank-perm-s777","V_control_symbolic_transition_orbit_permuted_regressor","synthetic_transition_orbit_rank_band_response","777","0.299398","-0.23094","0.51743"
"orbit-rank-lookup-s42","V_control_symbolic_transition_orbit_rank_lookup","synthetic_transition_orbit_rank_band_response","42","0.348522","-1","-3.27534518354218E+15"
"orbit-rank-lookup-s123","V_control_symbolic_transition_orbit_rank_lookup","synthetic_transition_orbit_rank_band_response","123","0.348522","-1","-3.27534518354218E+15"
"orbit-rank-lookup-s777","V_control_symbolic_transition_orbit_rank_lookup","synthetic_transition_orbit_rank_band_response","777","0.348522","-1","-3.27534518354218E+15"
"orbit-rank-quad-s42","V_control_symbolic_transition_quadratic_regressor","synthetic_transition_orbit_rank_band_response","42","0.288411","0.173205","0.461019"
"orbit-rank-quad-s123","V_control_symbolic_transition_quadratic_regressor","synthetic_transition_orbit_rank_band_response","123","0.288447","0.173205","0.438128"
"orbit-rank-quad-s777","V_control_symbolic_transition_quadratic_regressor","synthetic_transition_orbit_rank_band_response","777","0.284906","0.173205","0.459668"
"orbit-rank-witness-s42","V_future_relational_witness_transition_orbit_rank","synthetic_transition_orbit_rank_band_response","42","0.299168","0.80829","0.383679"
"orbit-rank-witness-s123","V_future_relational_witness_transition_orbit_rank","synthetic_transition_orbit_rank_band_response","123","0.300821","0.404145","0.288199"
"orbit-rank-witness-s777","V_future_relational_witness_transition_orbit_rank","synthetic_transition_orbit_rank_band_response","777","0.368975","0.80829","0.288394"
